run_name,delta_phi_vh_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
phi_vh_-260_deg,-260.00251785241625,0.02362235461875418,7.793246580721942,0.019619786820443845,0.013155972136429706
phi_vh_-255_deg,-255.00059630092417,0.021819185354194325,7.784899888039636,0.018116853530593783,0.012159624487281653
phi_vh_-250_deg,-249.9986747494321,0.01894798717377484,8.07105450862027,0.01521725301695865,0.011289881689167468
phi_vh_-245_deg,-245.0024827758913,0.016006833925629384,8.144776419216695,0.012276848888275892,0.01027120799600119
phi_vh_-240_deg,-240.0005612243992,0.013970055274865554,8.108551130312254,0.011132477369818265,0.008439809950068964
phi_vh_-235_deg,-234.99863967290713,0.010729923417359313,8.12435703812442,0.009323810600671929,0.005310161242861982
phi_vh_-230_deg,-230.0024476993664,0.008485208370679577,8.224153175103016,0.007731369020725734,0.003496383010943335
phi_vh_-225_deg,-225.0005261478743,0.005747362940204622,8.008141301658261,0.005677398309374226,0.0008940521255229959
phi_vh_-220_deg,-219.9986045963822,0.0037532922814830522,8.291295269978738,0.0036947881552897915,-0.0006601086560336231
phi_vh_-215_deg,-215.0024126228414,0.003538554863661878,7.929531839286368,0.0019088805718048263,-0.0029795210161586735
phi_vh_-210_deg,-210.00049107134933,0.004877453088083941,7.940607874932827,-0.0006182720881930635,-0.004838107920605012
phi_vh_-205_deg,-204.99856951985726,0.008626117678503907,7.146449000431549,-0.003933983420558891,-0.007676827512075896
phi_vh_-200_deg,-200.00237754631647,0.012619531678655593,6.967056822690118,-0.006213672985090145,-0.010983753812925387
phi_vh_-195_deg,-195.00045599482436,0.013972560958546532,7.378299301756064,-0.00700826351235684,-0.01208787418372919
phi_vh_-190_deg,-189.9985344433323,0.01681811204377557,6.779629987104706,-0.009919296259695929,-0.013581474678007957
phi_vh_-185_deg,-185.0023424697915,0.01946497504414703,6.6178914386048255,-0.012527472576270016,-0.01489790872304127
phi_vh_-180_deg,-180.00042091829943,0.02355085045829074,6.0764945244475035,-0.017314148101081058,-0.015964423974657038
phi_vh_-175_deg,-174.99849936680735,0.02602097712839446,5.97984770709365,-0.01977510924444638,-0.016912607873614257
phi_vh_-170_deg,-170.00230739326656,0.028375328857540502,5.446158392739625,-0.021467135512561266,-0.01855589881032179
phi_vh_-165_deg,-165.00038584177446,0.030201709428477153,4.8194305461226286,-0.024894701253768137,-0.017099622858057453
phi_vh_-160_deg,-159.99846429028239,0.03258050430307858,4.415299828577563,-0.027734093872954363,-0.017097055234427862
phi_vh_-155_deg,-155.0022723167416,0.03486191143424336,3.1393409319552794,-0.031063741651687213,-0.015823931984379265
phi_vh_-150_deg,-150.00035076524952,0.0358940938864355,2.9314396142699692,-0.03341089991842212,-0.013118602919877854
phi_vh_-145_deg,-144.99842921375742,0.03743589175846598,2.4354812414780924,-0.03497677804081961,-0.013344324247964761
phi_vh_-140_deg,-140.00223724021663,0.0384973558640963,1.5350874007229325,-0.03628586666278292,-0.01286010455080395
phi_vh_-135_deg,-135.00031568872456,0.040393082658373436,0.2653864378799655,-0.03989203340381686,-0.00634245989778004
phi_vh_-130_deg,-129.99839413723248,0.040477244096394735,-1.2871988597744304,-0.04044914711937204,-0.0015079081386211429
phi_vh_-125_deg,-125.00220216369172,0.04109684699203241,-2.3403524134102285,-0.04064302984565068,0.006090562999597926
phi_vh_-120_deg,-120.0002806121996,0.040077044601195363,-3.150574009002885,-0.038910641057638445,0.009598516367117518
phi_vh_-115_deg,-114.99835906070753,0.039644143379825726,-3.476949246180856,-0.03836018098805747,0.010007727958115872
phi_vh_-110_deg,-110.00216708716675,0.03791764564621385,-4.12316132746229,-0.03631553850232808,0.010905480944817006
phi_vh_-105_deg,-105.00024553567467,0.03476928272678481,-5.3762053995945225,-0.03186459747132999,0.013912240988611678
phi_vh_-100_deg,-99.99832398418258,0.033012590389895055,-5.9646031976349185,-0.030351850616670138,0.012984463346412598
phi_vh_-95_deg,-95.00213201064179,0.031094580838081646,-6.263298853212815,-0.028282397114417795,0.012922034319655964
phi_vh_-90_deg,-90.00021045914971,0.028109842035706902,-7.155855017792782,-0.024111344120686766,0.014450131624529192
phi_vh_-85_deg,-84.99828890765762,0.025384514375206526,-7.593991800545911,-0.021435908847190495,0.013596888686755043
phi_vh_-80_deg,-80.00209693411685,0.022699869737165656,-8.067766330805787,-0.01893905333851196,0.012513846120409518
